bins	Archaeal_16S_rRNA	Archaeal_23S_rRNA	Archaeal_5S_rRNA	Archaeal_5_8S_rRNA	Bacterial_16S_rRNA	Bacterial_23S_rRNA	Bacterial_5S_rRNA	Eukaryotic_28S_rRNA	Eukaryotic_5S_rRNA	Eukaryotic_5_8S_rRNA	Mitochondrial_12S_rRNA	Mitochondrial_16S_rRNA
AG_349_G23	2	2	0	0	0	0	0	0	0	0	0	0
AG_404_D14	2	2	0	0	0	0	0	0	0	0	0	0
AG_422_K10	2	2	0	0	0	0	0	0	0	0	0	0
AG_893_K05	2	2	0	0	0	0	0	0	0	0	0	0
AH_321_C14	0	2	0	0	2	0	0	0	0	0	0	0
AS9601	2	2	0	0	0	0	0	0	0	0	0	0
CCMP1375	2	2	0	0	0	0	0	0	0	0	0	0
EQPAC1	2	2	0	0	0	0	0	0	0	0	0	0
GP2	2	2	0	0	0	0	0	0	0	0	0	0
JFKN01	0	0	0	0	0	0	0	0	0	0	0	0
JFKO01	0	0	0	0	0	0	0	0	0	0	0	0
JFKP01	2	2	0	0	0	0	0	0	0	0	0	0
JFKQ01	0	2	0	0	0	0	0	0	0	0	0	0
JFKR01	2	2	0	0	0	0	0	0	0	0	0	0
JFKS01	0	0	0	0	0	0	0	0	0	0	0	0
JFKT01	2	2	0	0	0	0	0	0	0	0	0	0
JFKU01	0	0	0	0	0	0	0	0	0	0	0	0
JFKV01	2	2	0	0	0	0	0	0	0	0	0	0
JFKW01	0	0	0	0	0	0	0	0	0	0	0	0
JFKX01	2	2	0	0	0	0	0	0	0	0	0	0
JFKY01	0	0	0	0	0	0	0	0	0	0	0	0
JFKZ01	0	2	0	0	0	0	0	0	0	0	0	0
JFLA01	2	2	0	0	0	0	0	0	0	0	0	0
JFLB01	0	2	0	0	0	0	0	0	0	0	0	0
JFLC01	0	0	0	0	0	2	0	0	0	0	0	0
JFLD01	2	2	0	0	0	0	0	0	0	0	0	0
JFLE01	0	0	0	0	0	4	0	0	0	0	0	0
JFLF01	0	2	0	0	2	0	0	0	0	0	0	0
JFLG01	0	2	0	0	0	0	0	0	0	0	0	0
JFLH01	2	2	0	0	0	0	0	0	0	0	0	0
JFLI01	0	0	0	0	0	0	0	0	0	0	0	0
JFLJ01	0	0	0	0	0	2	0	0	0	0	0	0
JFLK01	0	0	0	0	0	0	0	0	0	0	0	0
JFLL01	2	2	0	0	0	0	0	0	0	0	0	0
JFLM01	0	2	0	0	2	0	0	0	0	0	0	0
JFLN01	0	2	0	0	0	0	0	0	0	0	0	0
JFLO01	2	2	0	0	0	0	0	0	0	0	0	0
JFLP01	0	2	0	0	0	0	0	0	0	0	0	0
JFLQ01	2	2	0	0	0	0	0	0	0	0	0	0
JFLR01	2	2	0	0	0	0	0	0	0	0	0	0
JFLS01	2	2	0	0	0	0	0	0	0	0	0	0
JFLT01	2	2	0	0	0	0	0	0	0	0	0	0
JFLU01	2	2	0	0	0	0	0	0	0	0	0	0
JFLV01	0	0	0	0	0	0	0	0	0	0	0	0
JFLW01	2	2	0	0	0	0	0	0	0	0	0	0
JFLX01	2	2	0	0	0	0	0	0	0	0	0	0
JFLY01	0	0	0	0	0	0	0	0	0	0	0	0
JFLZ01	0	0	0	0	0	0	0	0	0	0	0	0
JFMA01	0	0	0	0	0	0	0	0	0	0	0	0
JFMB01	0	0	0	0	0	0	0	0	0	0	0	0
JFMC01	0	0	0	0	0	4	0	0	0	0	0	0
JFMD01	0	0	0	0	0	0	0	0	0	0	0	0
JFME01	0	0	0	0	0	0	0	0	0	0	0	0
JFMF01	2	2	0	0	0	0	0	0	0	0	0	0
JFMG01	0	2	0	0	2	0	0	0	0	0	0	0
JFMH01	0	0	0	0	0	0	0	0	0	0	0	0
JFMI01	2	2	0	0	0	0	0	0	0	0	0	0
JFMJ01	2	2	0	0	0	0	0	0	0	0	0	0
JFMK01	2	2	0	0	0	0	0	0	0	0	0	0
JFML01	2	2	0	0	0	0	0	0	0	0	0	0
JFMM01	0	0	0	0	0	0	0	0	0	0	0	0
JFMN01	0	0	0	0	2	2	0	0	0	0	0	0
JFMO01	0	0	0	0	0	0	0	0	0	0	0	0
JFMP01	0	0	0	0	0	0	0	0	0	0	0	0
JFMQ01	0	0	0	0	0	0	0	0	0	0	0	0
JFMR01	0	0	0	0	2	2	0	0	0	0	0	0
JFMS01	0	0	0	0	0	0	0	0	0	0	0	0
JFMT01	0	0	0	0	0	0	0	0	0	0	0	0
JFMU01	0	0	0	0	0	0	0	0	0	0	0	0
JFMV01	2	2	0	0	0	0	0	0	0	0	0	0
JFMW01	0	0	0	0	0	0	0	0	0	0	0	0
JFMX01	0	0	0	0	0	0	0	0	0	0	0	0
JFMY01	0	2	0	0	0	2	0	0	0	0	0	0
JFMZ01	2	2	0	0	0	0	0	0	0	0	0	0
JFNA01	2	2	0	0	0	0	0	0	0	0	0	0
JFNC01	0	0	0	0	0	0	0	0	0	0	0	0
JFND01	2	2	0	0	0	0	0	0	0	0	0	0
JFNE01	2	2	0	0	0	0	0	0	0	0	0	0
JFNF01	2	2	0	0	0	0	0	0	0	0	0	0
JFNG01	2	2	0	0	0	0	0	0	0	0	0	0
JFNH01	0	0	0	0	0	0	0	0	0	0	0	0
JFNI01	0	0	0	0	0	0	0	0	0	0	0	0
JFNJ01	0	0	0	0	0	0	0	0	0	0	0	0
JFNK01	0	2	0	0	0	0	0	0	0	0	0	0
JFNL01	0	0	0	0	0	0	0	0	0	0	0	0
JFNM01	0	2	0	0	2	0	0	0	0	0	0	0
JFNN01	0	0	0	0	0	0	0	0	0	0	0	0
JFNO01	0	0	0	0	0	0	0	0	0	0	0	0
JFNP01	2	2	0	0	0	0	0	0	0	0	0	0
JFNQ01	0	0	0	0	0	0	0	0	0	0	0	0
JFNR01	0	0	0	0	0	0	0	0	0	0	0	0
JFNS01	0	0	0	0	0	0	0	0	0	0	0	0
JFNT01	0	0	0	0	0	0	0	0	0	0	0	0
JFNU01	2	2	0	0	0	0	0	0	0	0	0	0
JFNV01	2	2	0	0	0	0	0	0	0	0	0	0
JFNW01	0	0	0	0	0	0	0	0	0	0	0	0
JFNX01	0	0	0	0	0	0	0	0	0	0	0	0
JFNY01	0	0	0	0	0	0	0	0	0	0	0	0
JFNZ01	0	2	0	0	2	0	0	0	0	0	0	0
JFOA01	0	2	0	0	2	0	0	0	0	0	0	0
JFOB01	2	2	0	0	0	0	0	0	0	0	0	0
JFOC01	0	0	0	0	0	0	0	0	0	0	0	0
JFOD01	0	0	0	0	0	0	0	0	0	0	0	0
JFOE01	0	0	0	0	0	0	0	0	0	0	0	0
LG	2	2	0	0	0	0	0	0	0	0	0	0
MED4	2	2	0	0	0	0	0	0	0	0	0	0
MIT9107	2	2	0	0	0	0	0	0	0	0	0	0
MIT9116	2	2	0	0	0	0	0	0	0	0	0	0
MIT9123	2	2	0	0	0	0	0	0	0	0	0	0
MIT9201	2	2	0	0	0	0	0	0	0	0	0	0
MIT9202	2	2	0	0	0	0	0	0	0	0	0	0
MIT9211	2	2	0	0	0	0	0	0	0	0	0	0
MIT9215	2	2	0	0	0	0	0	0	0	0	0	0
MIT9301	2	2	0	0	0	0	0	0	0	0	0	0
MIT9302	2	2	0	0	0	0	0	0	0	0	0	0
MIT9303	4	4	0	0	0	0	0	0	0	0	0	0
MIT9311	2	2	0	0	0	0	0	0	0	0	0	0
MIT9312	2	2	0	0	0	0	0	0	0	0	0	0
MIT9313	4	4	0	0	0	0	0	0	0	0	0	0
MIT9314	2	2	0	0	0	0	0	0	0	0	0	0
MIT9321	2	2	0	0	0	0	0	0	0	0	0	0
